Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Agriculture,Office of Civil Rights,Office of Civil Rights,12-3800,FY2017,2017,12-3800 /17 - Office of Civil Rights,$2.9M,$29.4M,9.7%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,No Year,No Year,12-3505 /X - Supplemental Nutrition Assistance Program,$28.7M,$28.7M,100.0%
Department of Agriculture,Rural Business_Cooperative Service,Energy Assistance Payments,12-2073,No Year,No Year,12-2073 /X - Energy Assistance Payments,$16.1M,$28.3M,57.0%
Department of Agriculture,Forest Service,Acquisition of Lands to Complete Land Exchanges,12-5216,No Year,No Year,12-5216 /X - Acquisition of Lands to Complete Land Exchanges,$25.0M,$28.1M,89.2%
Department of Agriculture,Farm Service Agency,Discrimination Claims Settlement,12-1144,No Year,No Year,12-1144 /X - Discrimination Claims Settlement,$27.8M,$27.8M,100.0%
Department of Agriculture,Food Safety and Inspection Service,"Expenses and Refunds, Inspection and Grading of Farm Products",12-8137,No Year,No Year,"12-8137 /X - Expenses and Refunds, Inspection and Grading of Farm Products",$2.1M,$26.5M,8.1%
Department of Agriculture,Forest Service,Operations and Maintenance of Quarters,12-5219,No Year,No Year,12-5219 /X - Operations and Maintenance of Quarters,$19.3M,$26.4M,73.1%
Department of Agriculture,Forest Service,Administration of Rights-of-way and Other Land Uses,12-5361,No Year,No Year,12-5361 /X - Administration of Rights-of-way and Other Land Uses,$20.0M,$26.0M,76.6%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2016-FY2017,2017,12-3505 16/17 - Supplemental Nutrition Assistance Program,$14.9M,$25.5M,58.4%
Department of Agriculture,Agricultural Marketing Service,Perishable Agricultural Commodities Act Fund,12-5070,No Year,No Year,12-5070 /X - Perishable Agricultural Commodities Act Fund,$14.7M,$25.4M,57.9%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Loans Program Account,12-1336,No Year,No Year,12-1336 /X - Commodity Credit Corporation Export Loans Program Account,$4.5M,$20.5M,22.1%
Department of Agriculture,Executive Operations,Office of the Chief Economist,12-0123,FY2017,2017,12-0123 /17 - Office of the Chief Economist,$6.1M,$19.2M,31.7%
Department of Agriculture,Animal and Plant Health Inspection Service,Miscellaneous Contributed Funds,12-8226,No Year,No Year,12-8226 /X - Miscellaneous Contributed Funds,$10.6M,$18.6M,57.1%
Department of Agriculture,Food and Nutrition Service,Nutrition Programs Administration,12-3508,No Year,No Year,12-3508 /X - Nutrition Programs Administration,$17.7M,$17.7M,100.0%
Department of Agriculture,Farm Service Agency,Agricultural Disaster Relief Fund,12-5531,No Year,No Year,12-5531 /X - Agricultural Disaster Relief Fund,$16.4M,$17.0M,96.6%
Department of Agriculture,Foreign Agricultural Service,Foreign Service National Separation Liability Trust Fund,12-8505,No Year,No Year,12-8505 /X - Foreign Service National Separation Liability Trust Fund,$0.0M,$15.0M,0.2%
Department of Agriculture,Farm Service Agency,Pima Agriculture Cotton Trust Fund,12-5635,No Year,No Year,12-5635 /X - Pima Agriculture Cotton Trust Fund,$0.1M,$14.9M,0.4%
Department of Agriculture,Foreign Agricultural Service,"Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",12-2274,No Year,No Year,"12-2274 /X - Expenses, Public Law 480, Foreign Assistance Programs, Agricultu",$13.5M,$14.7M,91.4%
Department of Agriculture,Executive Operations,National Appeals Division,12-0706,FY2017,2017,12-0706 /17 - National Appeals Division,$1.7M,$14.0M,12.1%
Department of Agriculture,Forest Service,"Payment to Counties, National Grasslands",12-5896,No Year,No Year,"12-5896 /X - Payment to Counties, National Grasslands",$0.0M,$13.6M,0.0%
Department of Agriculture,Rural Business_Cooperative Service,Rural Microenterprise Investment Direct Loan Financing Account,12-4354,No Year,No Year,12-4354 /X - Rural Microenterprise Investment Direct Loan Financing Account,$3.9M,$13.5M,29.0%
Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,No Year,No Year,12-1000 /X - Conservation Operations,$11.9M,$12.5M,95.2%
Department of Agriculture,Natural Resources Conservation Service,Watershed Rehabilitation Program,12-1002,FY2017,2017,12-1002 /17 - Watershed Rehabilitation Program,$8.7M,$12.0M,72.1%
Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2016-FY2017,2017,12-0403 16/17 - Salaries and Expenses,$11.0M,$12.0M,91.3%
Department of Agriculture,Forest Service,"Payment to Minnesota (Cook, Lake, And St. Louis Counties) from T",12-5213,No Year,No Year,"12-5213 /X - Payment to Minnesota (Cook, Lake, And St. Louis Counties) from T",$6.2M,$11.9M,51.8%
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans Program Account,12-3301,No Year,No Year,12-3301 /X - Farm Storage Facility Loans Program Account,$0.0M,$11.7M,0.0%
Department of Agriculture,Rural Business_Cooperative Service,Rural Cooperative Development Grants,12-1900,FY2017,2017,12-1900 /17 - Rural Cooperative Development Grants,$10.1M,$11.6M,87.6%
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Water Disposal Guaranteed Loans Financing,12-4218,No Year,No Year,12-4218 /X - Rural Water and Waste Water Disposal Guaranteed Loans Financing,$10.7M,$10.9M,98.7%
Department of Agriculture,Rural Business_Cooperative Service,Rural Development Loan Fund Program Account,12-2069,FY2017,2017,12-2069 /17 - Rural Development Loan Fund Program Account,$3.1M,$10.3M,30.4%
Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,FY2016-FY2017,2017,12-0600 16/17 - Salaries and Expenses,$6.7M,$10.1M,66.2%
Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,12-0502,FY2017-FY2018,2018,12-0502 17/18 - Extension Activities,$10.0M,$10.0M,100.0%
Department of Agriculture,Natural Resources Conservation Service,Farm Security and Rural Investment Programs,12-1004,FY2017,2017,12-1004 /17 - Farm Security and Rural Investment Programs,$5.2M,$9.6M,54.8%
Department of Agriculture,Executive Operations,Office of Budget and Program Analysis,12-0503,FY2017,2017,12-0503 /17 - Office of Budget and Program Analysis,$1.7M,$9.5M,17.9%
Department of Agriculture,Forest Service,Land between the Lakes Management Fund,12-5360,No Year,No Year,12-5360 /X - Land between the Lakes Management Fund,$5.1M,$9.4M,54.5%
Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2017-FY2018,2018,12-0403 17/18 - Salaries and Expenses,$9.4M,$9.4M,100.0%
Department of Agriculture,Forest Service,Acquisition of Lands to Complete Land Exchanges,12-5216,FY2017-FY2020,2020,12-5216 17/20 - Acquisition of Lands to Complete Land Exchanges,$9.3M,$9.3M,100.0%
Department of Agriculture,National Institute of Food and Agriculture,Biomass Research and Development,12-1003,No Year,No Year,12-1003 /X - Biomass Research and Development,$8.9M,$9.3M,95.6%
Department of Agriculture,Agricultural Marketing Service,Payments to States and Possessions,12-2501,No Year,No Year,12-2501 /X - Payments to States and Possessions,$7.6M,$8.6M,88.0%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Loans Program Account,12-1336,FY2017,2017,12-1336 /17 - Commodity Credit Corporation Export Loans Program Account,$2.4M,$8.5M,28.2%
Department of Agriculture,Office of Chief Financial Officer,Office of the Chief Financial Officer,12-0014,FY2017,2017,12-0014 /17 - Office of the Chief Financial Officer,$1.8M,$8.1M,22.1%
Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Loans Program Account,12-3108,No Year,No Year,12-3108 /X - Rural Economic Development Loans Program Account,$3.6M,$8.1M,44.7%
Department of Agriculture,National Institute of Food and Agriculture,"Integrated Research, Education, and Extension Competitive Grants",12-1502,FY2017-FY2018,2018,"12-1502 17/18 - Integrated Research, Education, and Extension Competitive Grants",$8.0M,$8.0M,100.0%
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans Program Accou,12-1230,FY2017-FY2018,2018,12-1230 17/18 - Rural Electrification and Telecommunications Loans Program Accou,$8.0M,$8.0M,100.0%
Department of Agriculture,National Institute of Food and Agriculture,Native American Institutions Endowment Fund,12-5205,No Year,No Year,12-5205 /X - Native American Institutions Endowment Fund,$1.5M,$7.5M,19.9%
Department of Agriculture,Farm Service Agency,Grassroots Source Water Protection Program,12-3304,No Year,No Year,12-3304 /X - Grassroots Source Water Protection Program,$0.0M,$6.5M,0.0%
Department of Agriculture,Office of the Secretary,Gifts and Bequests,12-8203,No Year,No Year,12-8203 /X - Gifts and Bequests,$6.1M,$6.5M,93.9%
Department of Agriculture,Office of Inspector General,"Inspector General, Assets Forfeiture, Department of Justice",12-5410,No Year,No Year,"12-5410 /X - Inspector General, Assets Forfeiture, Department of Justice",$5.3M,$6.4M,84.1%
Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2013-FY2017,2017,12-3539 13/17 - State Child Nutrition Programs,$3.4M,$6.0M,56.5%
Department of Agriculture,Forest Service,Land between the Lakes Trust Fund,12-8039,No Year,No Year,12-8039 /X - Land between the Lakes Trust Fund,$5.9M,$6.0M,98.0%
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2017-FY2018,2018,12-1600 17/18 - Salaries and Expenses,$5.5M,$5.5M,100.0%
Department of Agriculture,Forest Service,Midewin National Tallgrass Prairie Rental Fees,12-5277,No Year,No Year,12-5277 /X - Midewin National Tallgrass Prairie Rental Fees,$4.4M,$5.2M,84.3%
Department of Agriculture,Natural Resources Conservation Service,Water Bank Program,12-3320,No Year,No Year,12-3320 /X - Water Bank Program,$4.5M,$5.0M,90.3%
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2016-FY2017,2017,12-1600 16/17 - Salaries and Expenses,$2.2M,$4.9M,44.2%
Department of Agriculture,Hazardous Materials Management,Hazardous Materials Management,12-0500,No Year,No Year,12-0500 /X - Hazardous Materials Management,$0.4M,$4.7M,8.0%
Department of Agriculture,Office of Inspector General,"Inspector General, Assets Forfeiture, Department of the Treasur",12-5411,No Year,No Year,"12-5411 /X - Inspector General, Assets Forfeiture, Department of the Treasur",$3.9M,$4.7M,81.7%
Department of Agriculture,Office of the Secretary,Outreach for Socially Disadvantaged Farmers,12-0601,No Year,No Year,12-0601 /X - Outreach for Socially Disadvantaged Farmers,$1.4M,$4.6M,31.1%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Liquidating Account,12-4140,No Year,No Year,12-4140 /X - Agricultural Credit Insurance Fund Liquidating Account,$3.5M,$4.5M,78.1%
Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Industry Direct Loans Financing Account,12-4223,No Year,No Year,12-4223 /X - Rural Business and Industry Direct Loans Financing Account,$3.5M,$4.5M,76.9%
Department of Agriculture,Farm Service Agency,USDA Supplemental Assistance,12-2701,No Year,No Year,12-2701 /X - USDA Supplemental Assistance,$4.4M,$4.4M,100.0%
Department of Agriculture,Office of the General Counsel,Office of Ethics,12-0136,FY2017,2017,12-0136 /17 - Office of Ethics,$0.9M,$4.3M,20.2%
Department of Agriculture,Forest Service,Range Betterment Fund,12-5207,FY2017-FY2020,2020,12-5207 17/20 - Range Betterment Fund,$3.0M,$4.2M,70.8%
Department of Agriculture,Office of the Secretary,"Office of the Under Secretary for Research, Education and Econom",12-0124,FY2017,2017,"12-0124 /17 - Office of the Under Secretary for Research, Education and Econom",$0.8M,$4.1M,18.7%
Department of Agriculture,Rural Business_Cooperative Service,Rural Business Investment Program Guarantee Financing Account,12-4033,No Year,No Year,12-4033 /X - Rural Business Investment Program Guarantee Financing Account,$4.0M,$4.0M,100.0%
Department of Agriculture,Farm Service Agency,State Mediation Grants,12-0170,FY2017,2017,12-0170 /17 - State Mediation Grants,$0.0M,$3.9M,0.0%
Department of Agriculture,Rural Business_Cooperative Service,Rural Microenterprise Investment Program Account,12-1955,No Year,No Year,12-1955 /X - Rural Microenterprise Investment Program Account,$2.1M,$3.9M,53.2%
Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,No Year,No Year,12-0403 /X - Salaries and Expenses,$3.8M,$3.9M,96.2%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,12-1140,No Year,No Year,12-1140 /X - Agricultural Credit Insurance Fund Program Account,$3.0M,$3.8M,78.6%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,72-12-4336,No Year,No Year,72-12-4336 /X - Commodity Credit Corporation Fund,$3.4M,$3.4M,100.0%
Department of Agriculture,Rural Business_Cooperative Service,Renewable Energy Program Account,12-1908,FY2017,2017,12-1908 /17 - Renewable Energy Program Account,$0.1M,$2.8M,2.5%
Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,FY2016-FY2017,2017,12-2900 16/17 - Salaries and Expenses,$1.3M,$2.7M,46.7%
Department of Agriculture,Natural Resources Conservation Service,Damage Assessment and Restoration Revolving Fund,12-4368,No Year,No Year,12-4368 /X - Damage Assessment and Restoration Revolving Fund,$2.6M,$2.6M,100.0%
Department of Agriculture,Forest Service,Management of National Forest Lands for Subsistence Uses,12-1119,FY2017-FY2020,2020,12-1119 17/20 - Management of National Forest Lands for Subsistence Uses,$0.3M,$2.5M,12.6%
Department of Agriculture,Rural Business_Cooperative Service,Rural Development Loan Fund Liquidating Account,12-4233,No Year,No Year,12-4233 /X - Rural Development Loan Fund Liquidating Account,$2.4M,$2.4M,100.0%
Department of Agriculture,Office of Inspector General,Office of Inspector General,12-0900,No Year,No Year,12-0900 /X - Office of Inspector General,$2.2M,$2.3M,99.9%
Department of Agriculture,Agricultural Marketing Service,"Wool Research, Development, and Promotion Trust Fund",12-8100,No Year,No Year,"12-8100 /X - Wool Research, Development, and Promotion Trust Fund",$0.0M,$2.1M,0.0%
Department of Agriculture,Farm Service Agency,Agriculture Credit Insurance Fund Direct Loan Financing Account,12-4284,No Year,No Year,12-4284 /X - Agriculture Credit Insurance Fund Direct Loan Financing Account,$1.4M,$2.1M,67.0%
Department of Agriculture,Rural Business_Cooperative Service,Rural Business Investment Program Account,12-1907,No Year,No Year,12-1907 /X - Rural Business Investment Program Account,$2.1M,$2.1M,100.0%
Department of Agriculture,Executive Operations,Office of the Chief Economist,12-0123,FY2017-FY2018,2018,12-0123 17/18 - Office of the Chief Economist,$2.0M,$2.0M,100.0%
Department of Agriculture,Farm Service Agency,USDA Supplemental Assistance,12-2701,FY2017,2017,12-2701 /17 - USDA Supplemental Assistance,$2.0M,$2.0M,100.0%
Department of Agriculture,National Institute of Food and Agriculture,Buildings and Facilities,12-1501,No Year,No Year,12-1501 /X - Buildings and Facilities,$1.7M,$1.7M,99.6%
Department of Agriculture,Forest Service,Licensee Programs,12-5214,No Year,No Year,12-5214 /X - Licensee Programs,$1.4M,$1.5M,90.9%
Department of Agriculture,Foreign Agricultural Service,Miscellaneous Contributed Funds,12-8232,No Year,No Year,12-8232 /X - Miscellaneous Contributed Funds,$1.3M,$1.3M,100.0%
Department of Agriculture,Forest Service,State and Private Forestry,14-12-1105,FY2017-FY2020,2020,14-12-1105 17/20 - State and Private Forestry,$1.2M,$1.2M,100.0%
Department of Agriculture,Forest Service,Range Betterment Fund,12-5207,No Year,No Year,12-5207 /X - Range Betterment Fund,$0.5M,$1.2M,45.1%
Department of Agriculture,Rural Utilities Service,Rural Telephone Bank Program Account,12-1231,FY2017,2017,12-1231 /17 - Rural Telephone Bank Program Account,$0.0M,$1.2M,0.0%
