Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Agriculture,Farm Service Agency,Salaries and Expenses,12-0600,FY2013-FY2014,2014,12-0600 13/14 - Salaries and Expenses,$0.0M,$31.5M,0.0%
Department of Agriculture,Forest Service,Timber Sales Pipeline Restoration Fund,12-5264,No Year,No Year,12-5264 /X - Timber Sales Pipeline Restoration Fund,$26.0M,$29.8M,87.0%
Department of Agriculture,Farm Service Agency,Discrimination Claims Settlement,12-1144,No Year,No Year,12-1144 /X - Discrimination Claims Settlement,$27.8M,$27.8M,100.0%
Department of Agriculture,Forest Service,"Timber Roads, Purchaser Elections",12-5202,No Year,No Year,"12-5202 /X - Timber Roads, Purchaser Elections",$26.7M,$27.5M,97.4%
Department of Agriculture,Rural Utilities Service,High Energy Cost Grants,12-2042,No Year,No Year,12-2042 /X - High Energy Cost Grants,$17.4M,$27.3M,63.8%
Department of Agriculture,Forest Service,Operations and Maintenance of Quarters,12-5219,No Year,No Year,12-5219 /X - Operations and Maintenance of Quarters,$18.4M,$26.6M,69.2%
Department of Agriculture,Forest Service,Stewardship Contracting Product Sales,12-5540,No Year,No Year,12-5540 /X - Stewardship Contracting Product Sales,$18.1M,$26.2M,69.0%
Department of Agriculture,National Institute of Food and Agriculture,"Integrated Research, Education, and Extension Competitive Grants",12-1502,No Year,No Year,"12-1502 /X - Integrated Research, Education, and Extension Competitive Grants",$25.4M,$25.5M,99.7%
Department of Agriculture,Office of Civil Rights,Office of Civil Rights,12-3800,FY2014,2014,12-3800 /14 - Office of Civil Rights,$2.7M,$25.2M,10.6%
Department of Agriculture,Animal and Plant Health Inspection Service,Miscellaneous Contributed Funds,12-8226,No Year,No Year,12-8226 /X - Miscellaneous Contributed Funds,$15.6M,$23.1M,67.7%
Department of Agriculture,Forest Service,Administration of Rights-of-way and Other Land Uses,12-5361,No Year,No Year,12-5361 /X - Administration of Rights-of-way and Other Land Uses,$16.1M,$20.9M,77.0%
Department of Agriculture,Agricultural Research Service,Salaries and Expenses,12-1400,No Year,No Year,12-1400 /X - Salaries and Expenses,$16.0M,$20.2M,79.1%
Department of Agriculture,Animal and Plant Health Inspection Service,Salaries and Expenses,12-1600,FY2014-FY2015,2015,12-1600 14/15 - Salaries and Expenses,$18.7M,$20.0M,93.5%
Department of Agriculture,Executive Operations,Office of the Chief Economist,12-0123,FY2014,2014,12-0123 /14 - Office of the Chief Economist,$5.5M,$19.3M,28.7%
Department of Agriculture,Food Safety and Inspection Service,"Expenses and Refunds, Inspection and Grading of Farm Products",12-8137,No Year,No Year,"12-8137 /X - Expenses and Refunds, Inspection and Grading of Farm Products",$9.5M,$19.3M,49.2%
Department of Agriculture,Agricultural Marketing Service,Perishable Agricultural Commodities Act Fund,12-5070,No Year,No Year,12-5070 /X - Perishable Agricultural Commodities Act Fund,$9.6M,$19.0M,50.4%
Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,FY2013-FY2014,2014,12-0403 13/14 - Salaries and Expenses,$0.0M,$16.5M,0.0%
Department of Agriculture,Farm Service Agency,Pima Agriculture Cotton Trust Fund,12-5635,No Year,No Year,12-5635 /X - Pima Agriculture Cotton Trust Fund,$0.0M,$16.0M,0.0%
Department of Agriculture,Farm Service Agency,Agriculture Wool Apparel Manufacturers Trust Fund,12-5636,No Year,No Year,12-5636 /X - Agriculture Wool Apparel Manufacturers Trust Fund,$16.0M,$16.0M,100.0%
Department of Agriculture,Agricultural Marketing Service,"Payment to Expenses and Refunds, Inspection and Grading of Farm",12-0215,FY2014,2014,"12-0215 /14 - Payment to Expenses and Refunds, Inspection and Grading of Farm",$0.1M,$14.5M,0.7%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Loans Program Account,12-1336,No Year,No Year,12-1336 /X - Commodity Credit Corporation Export Loans Program Account,$0.0M,$13.9M,0.0%
Department of Agriculture,Foreign Agricultural Service,Foreign Service National Separation Liability Trust Fund,12-8505,No Year,No Year,12-8505 /X - Foreign Service National Separation Liability Trust Fund,$12.7M,$13.0M,97.8%
Department of Agriculture,Executive Operations,National Appeals Division,12-0706,FY2014,2014,12-0706 /14 - National Appeals Division,$1.5M,$12.8M,11.3%
Department of Agriculture,Natural Resources Conservation Service,Watershed Rehabilitation Program,12-1002,FY2014,2014,12-1002 /14 - Watershed Rehabilitation Program,$5.7M,$12.0M,47.7%
Department of Agriculture,Forest Service,"Payment to Minnesota (Cook, Lake, And St. Louis Counties) from T",12-5213,No Year,No Year,"12-5213 /X - Payment to Minnesota (Cook, Lake, And St. Louis Counties) from T",$6.2M,$11.9M,51.9%
Department of Agriculture,Rural Business_Cooperative Service,Rural Development Loan Fund Program Account,12-2069,FY2014,2014,12-2069 /14 - Rural Development Loan Fund Program Account,$2.0M,$11.8M,17.2%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Guaranteed Loans Liquidating Accoun,12-4338,No Year,No Year,12-4338 /X - Commodity Credit Corporation Guaranteed Loans Liquidating Accoun,$10.3M,$11.1M,92.8%
Department of Agriculture,Rural Business_Cooperative Service,Rural Cooperative Development Grants,12-1900,FY2014,2014,12-1900 /14 - Rural Cooperative Development Grants,$8.8M,$11.1M,79.6%
Department of Agriculture,Farm Service Agency,Farm Storage Facility Loans Program Account,12-3301,No Year,No Year,12-3301 /X - Farm Storage Facility Loans Program Account,$0.3M,$11.0M,2.9%
Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,12-3507,FY2013-FY2014,2014,12-3507 13/14 - Commodity Assistance Program,$3.0M,$10.7M,28.4%
Department of Agriculture,Farm Service Agency,Grassroots Source Water Protection Program,12-3304,No Year,No Year,12-3304 /X - Grassroots Source Water Protection Program,$5.0M,$10.5M,47.5%
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,12-3505,FY2014-FY2018,2018,12-3505 14/18 - Supplemental Nutrition Assistance Program,$10.0M,$10.0M,100.0%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Liquidating Account,12-4140,No Year,No Year,12-4140 /X - Agricultural Credit Insurance Fund Liquidating Account,$8.6M,$9.5M,90.3%
Department of Agriculture,Food and Nutrition Service,State Child Nutrition Programs,12-3539,FY2014,2014,12-3539 /14 - State Child Nutrition Programs,$4.0M,$9.2M,43.2%
Department of Agriculture,Executive Operations,Office of Budget and Program Analysis,12-0503,FY2014,2014,12-0503 /14 - Office of Budget and Program Analysis,$2.0M,$9.1M,22.5%
Department of Agriculture,Farm Service Agency,Agriculture Credit Insurance Fund Direct Loan Financing Account,12-4284,No Year,No Year,12-4284 /X - Agriculture Credit Insurance Fund Direct Loan Financing Account,$7.3M,$8.4M,86.2%
Department of Agriculture,Rural Business_Cooperative Service,Rural Economic Development Loans Program Account,12-3108,No Year,No Year,12-3108 /X - Rural Economic Development Loans Program Account,$3.1M,$8.3M,37.7%
Department of Agriculture,Rural Utilities Service,Rural Water and Waste Water Disposal Guaranteed Loans Financing,12-4218,No Year,No Year,12-4218 /X - Rural Water and Waste Water Disposal Guaranteed Loans Financing,$8.2M,$8.2M,99.2%
Department of Agriculture,Forest Service,Land between the Lakes Management Fund,12-5360,No Year,No Year,12-5360 /X - Land between the Lakes Management Fund,$3.6M,$8.1M,44.4%
Department of Agriculture,Office of Chief Financial Officer,Office of the Chief Financial Officer,12-0014,FY2014,2014,12-0014 /14 - Office of the Chief Financial Officer,$2.7M,$6.9M,39.0%
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Loans Program Account,12-1336,FY2014,2014,12-1336 /14 - Commodity Credit Corporation Export Loans Program Account,$0.0M,$6.7M,0.0%
Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,12-2900,FY2013-FY2014,2014,12-2900 13/14 - Salaries and Expenses,$2.3M,$6.7M,35.2%
Department of Agriculture,National Institute of Food and Agriculture,"Integrated Research, Education, and Extension Competitive Grants",12-1502,FY2014-FY2015,2015,"12-1502 14/15 - Integrated Research, Education, and Extension Competitive Grants",$0.8M,$6.7M,11.7%
Department of Agriculture,Agricultural Marketing Service,Payments to States and Possessions,12-2501,No Year,No Year,12-2501 /X - Payments to States and Possessions,$6.2M,$6.2M,100.0%
Department of Agriculture,Animal and Plant Health Inspection Service,Buildings and Facilities,12-1601,No Year,No Year,12-1601 /X - Buildings and Facilities,$2.2M,$6.1M,36.0%
Department of Agriculture,Rural Business_Cooperative Service,Rural Microenterprise Investment Program Account,12-1955,No Year,No Year,12-1955 /X - Rural Microenterprise Investment Program Account,$6.0M,$6.1M,99.0%
Department of Agriculture,Rural Business_Cooperative Service,Rural Business and Industry Direct Loans Financing Account,12-4223,No Year,No Year,12-4223 /X - Rural Business and Industry Direct Loans Financing Account,$3.6M,$6.0M,59.9%
Department of Agriculture,Forest Service,Land between the Lakes Trust Fund,12-8039,No Year,No Year,12-8039 /X - Land between the Lakes Trust Fund,$5.8M,$5.9M,99.8%
Department of Agriculture,Forest Service,Midewin National Tallgrass Prairie Rental Fees,12-5277,No Year,No Year,12-5277 /X - Midewin National Tallgrass Prairie Rental Fees,$5.3M,$5.6M,94.7%
Department of Agriculture,National Institute of Food and Agriculture,Biomass Research and Development,12-1003,No Year,No Year,12-1003 /X - Biomass Research and Development,$5.5M,$5.6M,99.6%
Department of Agriculture,Hazardous Materials Management,Hazardous Materials Management,12-0500,No Year,No Year,12-0500 /X - Hazardous Materials Management,$0.6M,$5.4M,11.0%
Department of Agriculture,Rural Development,Salaries and Expenses,12-0403,No Year,No Year,12-0403 /X - Salaries and Expenses,$5.1M,$5.1M,100.0%
Department of Agriculture,Office of Inspector General,"Inspector General, Assets Forfeiture, Department of the Treasur",12-5411,No Year,No Year,"12-5411 /X - Inspector General, Assets Forfeiture, Department of the Treasur",$4.3M,$4.5M,96.7%
Department of Agriculture,Office of the Secretary,Gifts and Bequests,12-8203,No Year,No Year,12-8203 /X - Gifts and Bequests,$3.9M,$4.4M,90.2%
Department of Agriculture,Rural Business_Cooperative Service,Rural Development Loan Fund Liquidating Account,12-4233,No Year,No Year,12-4233 /X - Rural Development Loan Fund Liquidating Account,$4.4M,$4.4M,100.0%
Department of Agriculture,Natural Resources Conservation Service,Water Bank Program,12-3320,No Year,No Year,12-3320 /X - Water Bank Program,$0.7M,$4.3M,15.3%
Department of Agriculture,Natural Resources Conservation Service,Conservation Operations,12-1000,No Year,No Year,12-1000 /X - Conservation Operations,$1.9M,$4.2M,46.2%
Department of Agriculture,Farm Service Agency,USDA Supplemental Assistance,12-2701,No Year,No Year,12-2701 /X - USDA Supplemental Assistance,$3.9M,$3.9M,100.0%
Department of Agriculture,Farm Service Agency,State Mediation Grants,12-0170,FY2014,2014,12-0170 /14 - State Mediation Grants,$0.3M,$3.8M,8.2%
Department of Agriculture,Office of the General Counsel,Office of Ethics,12-0136,FY2014,2014,12-0136 /14 - Office of Ethics,$0.6M,$3.7M,15.6%
Department of Agriculture,Rural Business_Cooperative Service,Renewable Energy Program Account,12-1908,FY2014,2014,12-1908 /14 - Renewable Energy Program Account,$0.0M,$3.5M,0.0%
Department of Agriculture,Office of Inspector General,"Inspector General, Assets Forfeiture, Department of Justice",12-5410,No Year,No Year,"12-5410 /X - Inspector General, Assets Forfeiture, Department of Justice",$2.1M,$3.4M,63.2%
Department of Agriculture,Forest Service,Range Betterment Fund,12-5207,No Year,No Year,12-5207 /X - Range Betterment Fund,$1.7M,$3.3M,52.3%
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund Program Account,12-1140,No Year,No Year,12-1140 /X - Agricultural Credit Insurance Fund Program Account,$2.3M,$3.2M,72.5%
Department of Agriculture,Rural Business_Cooperative Service,Rural Business Investment Program Guarantee Financing Account,12-4033,No Year,No Year,12-4033 /X - Rural Business Investment Program Guarantee Financing Account,$3.2M,$3.2M,100.0%
Department of Agriculture,Agricultural Research Service,Buildings and Facilities,12-1401,No Year,No Year,12-1401 /X - Buildings and Facilities,$1.5M,$2.9M,52.8%
Department of Agriculture,Forest Service,State and Private Forestry,14-12-1105,No Year,No Year,14-12-1105 /X - State and Private Forestry,$0.9M,$2.9M,30.7%
Department of Agriculture,Forest Service,Management of National Forest Lands for Subsistence Uses,12-1119,No Year,No Year,12-1119 /X - Management of National Forest Lands for Subsistence Uses,$0.3M,$2.9M,8.7%
Department of Agriculture,Office of Inspector General,Office of the Inspector General,12-0900,No Year,No Year,12-0900 /X - Office of the Inspector General,$2.2M,$2.8M,79.5%
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Program Account,12-2277,FY2014,2014,12-2277 /14 - Public Law 480 Title I Program Account,$0.0M,$2.7M,0.0%
Department of Agriculture,Agricultural Marketing Service,"Wool Research, Development, and Promotion Trust Fund",12-8100,No Year,No Year,"12-8100 /X - Wool Research, Development, and Promotion Trust Fund",$0.0M,$2.2M,0.0%
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Ocean Freight Differential Grants,12-2271,No Year,No Year,12-2271 /X - Public Law 480 Title I Ocean Freight Differential Grants,$2.2M,$2.2M,100.0%
Department of Agriculture,Forest Service,National Forest System,14-12-1106,No Year,No Year,14-12-1106 /X - National Forest System,$2.2M,$2.2M,97.3%
Department of Agriculture,Office of the Secretary,Office of the Under Secretary for Rural Development,12-0127,FY2014,2014,12-0127 /14 - Office of the Under Secretary for Rural Development,$0.4M,$2.1M,19.1%
Department of Agriculture,Farm Service Agency,USDA Supplemental Assistance,12-2701,FY2014,2014,12-2701 /14 - USDA Supplemental Assistance,$2.0M,$2.0M,100.0%
Department of Agriculture,Office of the Secretary,Outreach for Socially Disadvantaged Farmers,12-0601,No Year,No Year,12-0601 /X - Outreach for Socially Disadvantaged Farmers,$0.5M,$2.0M,24.3%
Department of Agriculture,Forest Service,Valles Caldera Fund,12-5363,No Year,No Year,12-5363 /X - Valles Caldera Fund,$1.2M,$1.7M,67.1%
Department of Agriculture,National Institute of Food and Agriculture,Native American Institutions Endowment Fund,12-5205,No Year,No Year,12-5205 /X - Native American Institutions Endowment Fund,$-1.3M,$1.5M,-90.2%
Department of Agriculture,Office of the Secretary,"Office of the Under Secretary for Research, Education and Econom",12-0124,FY2014,2014,"12-0124 /14 - Office of the Under Secretary for Research, Education and Econom",$0.3M,$1.5M,21.1%
Department of Agriculture,Office of the Secretary,Office of the Under Secretary for Natural Resources and Environm,12-0128,FY2014,2014,12-0128 /14 - Office of the Under Secretary for Natural Resources and Environm,$0.3M,$1.5M,18.3%
Department of Agriculture,Natural Resources Conservation Service,Miscellaneous Contributed Funds,12-8210,No Year,No Year,12-8210 /X - Miscellaneous Contributed Funds,$1.4M,$1.4M,98.8%
Department of Agriculture,Office of the Secretary,Office of the Under Secretary for Marketing and Regulatory Progr,12-0125,FY2014,2014,12-0125 /14 - Office of the Under Secretary for Marketing and Regulatory Progr,$0.2M,$1.4M,14.2%
Department of Agriculture,Foreign Agricultural Service,Miscellaneous Contributed Funds,12-8232,No Year,No Year,12-8232 /X - Miscellaneous Contributed Funds,$1.2M,$1.2M,100.0%
Department of Agriculture,Office of the Secretary,Office of the Under Secretary for Farm and Foreign Agricultural,12-0126,FY2014,2014,12-0126 /14 - Office of the Under Secretary for Farm and Foreign Agricultural,$0.2M,$1.2M,21.0%
Department of Agriculture,Forest Service,Licensee Programs,12-5214,No Year,No Year,12-5214 /X - Licensee Programs,$1.1M,$1.1M,98.0%
